# HEGEL:: NS fluid model solution file
# SI UNITS used: position [m], density [kg/m^3], number density [1/m^3], velocity [m/s], pressure [Pa], energy [J/kg], power [W/m^3], heat-flux [W/m^2], electric field [V/m], magnetic field [T]
# x  rho  p  T  H  M  u  v
  0.40234173E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.51297914E+06   0.18733853E+01  -0.65048619E+03   0.65048619E+03
  0.40240127E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.52387493E+06   0.19210199E+01  -0.66702613E+03   0.66702613E+03
  0.40246231E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.53532702E+06   0.19698454E+01  -0.68397956E+03   0.68397956E+03
  0.40252486E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.54736370E+06   0.20198915E+01  -0.70135683E+03   0.70135683E+03
  0.40258899E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.56001469E+06   0.20711888E+01  -0.71916853E+03   0.71916853E+03
  0.40265471E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.57331120E+06   0.21237685E+01  -0.73742552E+03   0.73742552E+03
  0.40272208E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.58728605E+06   0.21776627E+01  -0.75613894E+03   0.75613894E+03
  0.40279113E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.60197370E+06   0.22329043E+01  -0.77532020E+03   0.77532020E+03
  0.40286191E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.61741038E+06   0.22895269E+01  -0.79498098E+03   0.79498098E+03
  0.40293446E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.63363414E+06   0.23475651E+01  -0.81513329E+03   0.81513329E+03
  0.40300882E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.65068496E+06   0.24070542E+01  -0.83578940E+03   0.83578940E+03
  0.40308504E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.66860486E+06   0.24680306E+01  -0.85696191E+03   0.85696191E+03
  0.40316316E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.68743798E+06   0.25305313E+01  -0.87866374E+03   0.87866374E+03
  0.40324324E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.70723071E+06   0.25945946E+01  -0.90090811E+03   0.90090811E+03
  0.40332532E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.72803179E+06   0.26602595E+01  -0.92370860E+03   0.92370860E+03
